ID,Texto del Requisito,Tipo,Subsistema,Métricas de Calidad (SMART+CCC+Trazable+Verificable)
RF-1,El sistema leerá un CSV con los 12 campos definidos y almacenará su contenido en un sistema de datos persistente.,Funcional,Carga de datos,"Cumple: Específico (campos definidos), Verificable (test de carga), Conciso y Trazable (vinculado a la persistencia inicial)."
RF-2,El sistema solo aceptará solicitudes a través del método HTTP GET.,Funcional,Validación de datos,"Cumple: No ambiguo, Atómico y Verificable (test de rechazo de otros métodos como POST)."
RF-3,El sistema solo aceptará estados de peticiones 200 o 206.,Funcional,Validación de datos,Cumple: Medible y Verificable. Es un requisito binario (pasa/no pasa) que evita ambigüedad en el flujo.
RF-4,"El sistema detectará bots mediante las palabras clave: ""BOT"", ""SPIDER"", ""CRAWLER"", ""HERITRIX"" en el agente de usuario.",Funcional,Validación de datos,"Cumple: Completo (lista cerrada de términos), Verificable mediante inyección de cadenas en el User-Agent."
RF-5,"El sistema solo aceptará archivos con extensión "".mp3"".",Funcional,Validación de datos,Cumple: Específico y Conciso. La métrica de éxito es la validación de la extensión del recurso solicitado.
RF-6,"Generación de observaciones de error con ID único, valor 1, métrica específica y URI del episodio para cada solicitud inválida.",Funcional,Generación de datos,Cumple: SMART (Específico en campos y Medible). Define nombres exactos para las métricas de error.
RF-7,Generación de descarga (Download 200/206) según umbrales (31.4MB para 200 y 1MB para 206) por usuario único e inclusión de localización aleatoria.,Funcional,Generación de datos,Cumple: Altamente Verificable y Específico. Define cantidades exactas (bytes) y condiciones de descarte posteriores.
RF-8,Cálculo de estadísticas totales de descargas exitosas y errores por tipo tras el proceso de persistencia.,Funcional,Resumen de datos,Cumple: Medible. El resultado es un sumatorio directo de las observaciones generadas previamente.
RF-9,"Generación de una lista de los k programas principales (Top K) por descargas, devolviendo tuplas (título, cantidad).",Funcional,Resumen de datos,Cumple: SMART. El parámetro 'k' lo hace flexible pero específico en su estructura de salida (tupla).
RF-10,Visualización de la lista de los k programas principales en un gráfico de columnas.,Funcional,Visualización,Cumple: Verificable mediante inspección visual o pruebas de UI. Trazable con el RF-9.
RF-11,Recomendación de 5 episodios para un usuario basado en sus temas más descargados y popularidad global.,Funcional,Recomendación,Cumple: Específico (define pasos 1 al 5) y Medible (retorno exacto de 5 elementos).
RFN-1,"Ofrecer API de servicios web OpenAPI con operaciones CRUD para Podcast, Episodio, Métrica y Observación, más recomendación.",No Funcional,Interoperabilidad,Cumple: Trazable y Verificable a través de la documentación Swagger/OpenAPI generada.
RFN-2,Uso de protocolos seguros (HTTPS) o autenticación de usuario/contraseña para el consumo del API.,No Funcional,Seguridad,Cumple: Verificable mediante pruebas de penetración o auditoría de configuración de red.